unique_id,ds,Predicted,Observed,Deviation
cups_1,2025-04-01 15:00:00,151.44167,108,-43.44166564941406
cups_1,2025-04-01 16:00:00,149.06718,111,-38.06718444824219
cups_1,2025-04-01 17:00:00,123.65968,85,-38.65968322753906
cups_1,2025-04-01 18:00:00,101.50252,58,-43.50251770019531
cups_1,2025-04-01 19:00:00,96.94889,24,-72.94889068603516
cups_1,2025-04-01 20:00:00,81.15733,19,-62.15733337402344
cups_1,2025-04-01 21:00:00,76.09239,14,-62.09239196777344
cups_1,2025-04-01 22:00:00,71.578476,12,-59.57847595214844
cups_1,2025-04-01 23:00:00,66.36133,12,-54.361328125
cups_1,2025-04-02 00:00:00,62.905552,11,-51.90555191040039
cups_1,2025-04-02 01:00:00,58.21819,9,-49.21818923950195
cups_1,2025-04-02 02:00:00,54.46924,6,-48.46923828125
cups_1,2025-04-02 03:00:00,51.25697,5,-46.2569694519043
cups_1,2025-04-02 04:00:00,49.71159,4,-45.71158981323242
cups_1,2025-04-02 05:00:00,47.72543,5,-42.72542953491211
cups_1,2025-04-02 06:00:00,48.81814,7,-41.818138122558594
cups_1,2025-04-02 07:00:00,65.84191,56,-9.841911315917969
cups_1,2025-04-02 08:00:00,89.749855,111,21.250144958496094
cups_1,2025-04-02 09:00:00,135.03893,117,-18.038925170898438
cups_1,2025-04-02 10:00:00,101.12765,173,71.87235260009766
cups_1,2025-04-02 11:00:00,112.15867,162,49.841331481933594
cups_1,2025-04-02 12:00:00,105.41482,163,57.585182189941406
cups_1,2025-04-02 13:00:00,133.80756,256,122.19244384765625
cups_1,2025-04-02 14:00:00,119.961235,191,71.03876495361328
cups_1,2025-04-02 15:00:00,96.58241,95,-1.5824127197265625
cups_1,2025-04-02 16:00:00,100.19,186,85.80999755859375
cups_1,2025-04-02 17:00:00,83.676506,144,60.32349395751953
cups_1,2025-04-02 18:00:00,69.03328,49,-20.033279418945312
cups_1,2025-04-02 19:00:00,69.06586,76,6.93414306640625
cups_1,2025-04-02 20:00:00,58.889133,28,-30.88913345336914
cups_1,2025-04-02 21:00:00,57.44481,14,-43.44480895996094
cups_1,2025-04-02 22:00:00,56.02222,13,-43.022220611572266
cups_1,2025-04-02 23:00:00,53.963196,13,-40.96319580078125
cups_1,2025-04-03 00:00:00,53.030056,11,-42.03005599975586
cups_1,2025-04-03 01:00:00,50.99866,9,-41.998661041259766
cups_1,2025-04-03 02:00:00,49.551464,6,-43.55146408081055
cups_1,2025-04-03 03:00:00,48.108932,4,-44.10893249511719
cups_1,2025-04-03 04:00:00,47.913803,4,-43.91380310058594
cups_1,2025-04-03 05:00:00,47.296898,5,-42.296897888183594
cups_1,2025-04-03 06:00:00,48.622482,6,-42.62248229980469
cups_1,2025-04-03 07:00:00,60.08098,40,-20.080978393554688
cups_1,2025-04-03 08:00:00,74.67631,97,22.323692321777344
cups_1,2025-04-03 09:00:00,91.85094,205,113.14906311035156
cups_1,2025-04-03 10:00:00,82.22782,179,96.77217864990234
cups_1,2025-04-03 11:00:00,95.34477,199,103.65522766113281
cups_1,2025-04-03 12:00:00,87.547516,182,94.45248413085938
cups_1,2025-04-03 13:00:00,100.89899,222,121.10101318359375
cups_1,2025-04-03 14:00:00,95.3755,196,100.62449645996094
cups_1,2025-04-03 15:00:00,83.107574,140,56.892425537109375
cups_1,2025-04-03 16:00:00,83.70702,163,79.29297637939453
cups_1,2025-04-03 17:00:00,75.21536,136,60.784637451171875
cups_1,2025-04-03 18:00:00,67.74374,67,-0.7437362670898438
cups_1,2025-04-03 19:00:00,67.03141,36,-31.031410217285156
cups_1,2025-04-03 20:00:00,61.77664,31,-30.776641845703125
cups_1,2025-04-03 21:00:00,60.58338,106,45.41661834716797
cups_1,2025-04-03 22:00:00,59.48306,384,324.51694107055664
cups_1,2025-04-03 23:00:00,58.10001,434,375.8999900817871
cups_1,2025-04-04 00:00:00,57.300274,460,402.6997261047363
cups_1,2025-04-04 01:00:00,56.00893,484,427.9910697937012
cups_1,2025-04-04 02:00:00,55.024277,508,452.97572326660156
cups_1,2025-04-04 03:00:00,54.125122,535,480.8748779296875
cups_1,2025-04-04 04:00:00,53.82744,544,490.1725616455078
cups_1,2025-04-04 05:00:00,53.346127,557,503.6538734436035
cups_1,2025-04-04 06:00:00,53.876377,563,509.1236228942871
cups_1,2025-04-04 07:00:00,59.66158,617,557.3384208679199
cups_1,2025-04-04 08:00:00,67.37811,615,547.6218872070312
cups_1,2025-04-04 09:00:00,79.13352,705,625.8664779663086
cups_1,2025-04-04 10:00:00,71.2137,729,657.7863006591797
cups_1,2025-04-04 11:00:00,76.51911,774,697.4808883666992
cups_1,2025-04-04 12:00:00,73.33432,772,698.6656799316406
cups_1,2025-04-04 13:00:00,81.41084,792,710.5891571044922
cups_1,2025-04-04 14:00:00,77.74085,735,657.259147644043
cups_1,2025-04-04 15:00:00,70.7405,636,565.2594985961914
cups_1,2025-04-04 16:00:00,71.46616,634,562.5338363647461
cups_1,2025-04-04 17:00:00,66.56897,593,526.4310302734375
cups_1,2025-04-04 18:00:00,62.242363,607,544.7576370239258
cups_1,2025-04-04 19:00:00,62.05219,576,513.947811126709
cups_1,2025-04-04 20:00:00,59.02826,565,505.97174072265625
cups_1,2025-04-04 21:00:00,58.47643,561,502.5235710144043
cups_1,2025-04-04 22:00:00,57.95344,566,508.04655838012695
