x;y
19/3/2025 8:0;419
19/3/2025 9:0;506
19/3/2025 10:0;389
19/3/2025 11:0;563
19/3/2025 12:0;477
19/3/2025 13:0;513
19/3/2025 14:0;342
19/3/2025 15:0;355
19/3/2025 16:0;335
19/3/2025 17:0;199
19/3/2025 18:0;155
19/3/2025 19:0;112
19/3/2025 20:0;195
19/3/2025 21:0;227
19/3/2025 22:0;391
19/3/2025 23:0;329
20/3/2025 0:0;361
20/3/2025 1:0;244
20/3/2025 2:0;110
20/3/2025 3:0;85
20/3/2025 4:0;68
20/3/2025 5:0;81
20/3/2025 6:0;62
20/3/2025 7:0;228
20/3/2025 8:0;430
20/3/2025 9:0;426
20/3/2025 10:0;335
20/3/2025 11:0;376
20/3/2025 12:0;590
20/3/2025 13:0;579
20/3/2025 14:0;319
20/3/2025 15:0;643
20/3/2025 16:0;354
20/3/2025 17:0;334
20/3/2025 18:0;624
20/3/2025 19:0;418
20/3/2025 20:0;408
20/3/2025 21:0;528
20/3/2025 22:0;415
20/3/2025 23:0;461
21/3/2025 0:0;389
21/3/2025 1:0;374
21/3/2025 2:0;298
21/3/2025 3:0;199
21/3/2025 4:0;179
21/3/2025 5:0;189
21/3/2025 6:0;162
21/3/2025 7:0;243
21/3/2025 8:0;322
21/3/2025 9:0;540
21/3/2025 10:0;369
21/3/2025 11:0;356
21/3/2025 12:0;540
21/3/2025 13:0;592
21/3/2025 14:0;513
21/3/2025 15:0;383
21/3/2025 16:0;327
21/3/2025 17:0;243
21/3/2025 18:0;208
21/3/2025 19:0;388
21/3/2025 20:0;341
21/3/2025 21:0;256
21/3/2025 22:0;276
21/3/2025 23:0;184
22/3/2025 0:0;165
22/3/2025 1:0;323
22/3/2025 2:0;137
22/3/2025 3:0;90
22/3/2025 4:0;26
22/3/2025 5:0;37
22/3/2025 6:0;51
22/3/2025 7:0;51
22/3/2025 8:0;76
22/3/2025 9:0;215
22/3/2025 10:0;127
22/3/2025 11:0;316
22/3/2025 12:0;654
22/3/2025 13:0;511
22/3/2025 14:0;397
22/3/2025 15:0;506
22/3/2025 16:0;356
22/3/2025 17:0;243
22/3/2025 18:0;212
22/3/2025 19:0;247
22/3/2025 20:0;328
22/3/2025 21:0;222
22/3/2025 22:0;166
22/3/2025 23:0;155
23/3/2025 0:0;251
23/3/2025 1:0;222
23/3/2025 2:0;179
23/3/2025 3:0;40
23/3/2025 4:0;74
23/3/2025 5:0;134
23/3/2025 6:0;48
23/3/2025 7:0;39
23/3/2025 8:0;107
23/3/2025 9:0;318
23/3/2025 10:0;345
23/3/2025 11:0;472
23/3/2025 12:0;427
23/3/2025 13:0;455
23/3/2025 14:0;422
23/3/2025 15:0;347
23/3/2025 16:0;373
23/3/2025 17:0;309
23/3/2025 18:0;214
23/3/2025 19:0;213
23/3/2025 20:0;447
23/3/2025 21:0;483
23/3/2025 22:0;412
23/3/2025 23:0;306
24/3/2025 0:0;272
24/3/2025 1:0;244
24/3/2025 2:0;143
