x;y
19.03.2025 08:00;1398
19.03.2025 09:00;3360
19.03.2025 10:00;2793
19.03.2025 11:00;3196
19.03.2025 12:00;4114
19.03.2025 13:00;3584
19.03.2025 14:00;2831
19.03.2025 15:00;2338
19.03.2025 16:00;2406
19.03.2025 17:00;1973
19.03.2025 18:00;2169
19.03.2025 19:00;1003
19.03.2025 20:00;480
19.03.2025 21:00;370
19.03.2025 22:00;337
19.03.2025 23:00;323
20.03.2025 00:00;306
20.03.2025 01:00;337
20.03.2025 02:00;309
20.03.2025 03:00;330
20.03.2025 04:00;309
20.03.2025 05:00;310
20.03.2025 06:00;419
20.03.2025 07:00;664
20.03.2025 08:00;1594
20.03.2025 09:00;3424
20.03.2025 10:00;4124
20.03.2025 11:00;3910
20.03.2025 12:00;4685
20.03.2025 13:00;4267
20.03.2025 14:00;2724
20.03.2025 15:00;2427
20.03.2025 16:00;2203
20.03.2025 17:00;1846
20.03.2025 18:00;2392
20.03.2025 19:00;1288
20.03.2025 20:00;845
20.03.2025 21:00;325
20.03.2025 22:00;296
20.03.2025 23:00;299
21.03.2025 00:00;272
21.03.2025 01:00;279
21.03.2025 02:00;272
21.03.2025 03:00;279
21.03.2025 04:00;274
21.03.2025 05:00;278
21.03.2025 06:00;257
21.03.2025 07:00;275
21.03.2025 08:00;284
21.03.2025 09:00;335
21.03.2025 10:00;296
21.03.2025 11:00;331
21.03.2025 12:00;321
21.03.2025 13:00;297
21.03.2025 14:00;326
21.03.2025 15:00;302
21.03.2025 16:00;214
21.03.2025 17:00;207
21.03.2025 18:00;190
21.03.2025 19:00;194
21.03.2025 20:00;189
21.03.2025 21:00;187
21.03.2025 22:00;191
21.03.2025 23:00;190
22.03.2025 00:00;193
22.03.2025 01:00;205
22.03.2025 02:00;186
22.03.2025 03:00;215
22.03.2025 04:00;233
22.03.2025 05:00;227
22.03.2025 06:00;184
22.03.2025 07:00;188
22.03.2025 08:00;201
22.03.2025 09:00;189
22.03.2025 10:00;185
22.03.2025 11:00;188
22.03.2025 12:00;176
22.03.2025 13:00;196
22.03.2025 14:00;188
22.03.2025 15:00;205
22.03.2025 16:00;212
22.03.2025 17:00;181
22.03.2025 18:00;206
22.03.2025 19:00;178
22.03.2025 20:00;192
22.03.2025 21:00;198
22.03.2025 22:00;195
22.03.2025 23:00;225
23.03.2025 00:00;183
23.03.2025 01:00;209
23.03.2025 02:00;180
23.03.2025 03:00;187
23.03.2025 04:00;197
23.03.2025 05:00;190
23.03.2025 06:00;199
23.03.2025 07:00;186
23.03.2025 08:00;174
23.03.2025 09:00;209
23.03.2025 10:00;188
23.03.2025 11:00;254
23.03.2025 12:00;213
23.03.2025 13:00;182
23.03.2025 14:00;191
23.03.2025 15:00;189
23.03.2025 16:00;199
23.03.2025 17:00;180
23.03.2025 18:00;182
23.03.2025 19:00;192
23.03.2025 20:00;177
23.03.2025 21:00;190
23.03.2025 22:00;183
23.03.2025 23:00;203
24.03.2025 00:00;222
