x;y
19/3/2025 8:0;1398
19/3/2025 9:0;3360
19/3/2025 10:0;2793
19/3/2025 11:0;3196
19/3/2025 12:0;4114
19/3/2025 13:0;3584
19/3/2025 14:0;2831
19/3/2025 15:0;2338
19/3/2025 16:0;2406
19/3/2025 17:0;1973
19/3/2025 18:0;2169
19/3/2025 19:0;1003
19/3/2025 20:0;480
19/3/2025 21:0;370
19/3/2025 22:0;337
19/3/2025 23:0;323
20/3/2025 0:0;306
20/3/2025 1:0;337
20/3/2025 2:0;309
20/3/2025 3:0;330
20/3/2025 4:0;309
20/3/2025 5:0;310
20/3/2025 6:0;419
20/3/2025 7:0;664
20/3/2025 8:0;1594
20/3/2025 9:0;3424
20/3/2025 10:0;4124
20/3/2025 11:0;3910
20/3/2025 12:0;4685
20/3/2025 13:0;4267
20/3/2025 14:0;2724
20/3/2025 15:0;2427
20/3/2025 16:0;2203
20/3/2025 17:0;1846
20/3/2025 18:0;2392
20/3/2025 19:0;1288
20/3/2025 20:0;845
20/3/2025 21:0;325
20/3/2025 22:0;296
20/3/2025 23:0;299
21/3/2025 0:0;272
21/3/2025 1:0;279
21/3/2025 2:0;272
21/3/2025 3:0;279
21/3/2025 4:0;274
21/3/2025 5:0;278
21/3/2025 6:0;257
21/3/2025 7:0;275
21/3/2025 8:0;284
21/3/2025 9:0;335
21/3/2025 10:0;296
21/3/2025 11:0;331
21/3/2025 12:0;321
21/3/2025 13:0;297
21/3/2025 14:0;326
21/3/2025 15:0;302
21/3/2025 16:0;214
21/3/2025 17:0;207
21/3/2025 18:0;190
21/3/2025 19:0;194
21/3/2025 20:0;189
21/3/2025 21:0;187
21/3/2025 22:0;191
21/3/2025 23:0;190
22/3/2025 0:0;193
22/3/2025 1:0;205
22/3/2025 2:0;186
22/3/2025 3:0;215
22/3/2025 4:0;233
22/3/2025 5:0;227
22/3/2025 6:0;184
22/3/2025 7:0;188
22/3/2025 8:0;201
22/3/2025 9:0;189
22/3/2025 10:0;185
22/3/2025 11:0;188
22/3/2025 12:0;176
22/3/2025 13:0;196
22/3/2025 14:0;188
22/3/2025 15:0;205
22/3/2025 16:0;212
22/3/2025 17:0;181
22/3/2025 18:0;206
22/3/2025 19:0;178
22/3/2025 20:0;192
22/3/2025 21:0;198
22/3/2025 22:0;195
22/3/2025 23:0;225
23/3/2025 0:0;183
23/3/2025 1:0;209
23/3/2025 2:0;180
23/3/2025 3:0;187
23/3/2025 4:0;197
23/3/2025 5:0;190
23/3/2025 6:0;199
23/3/2025 7:0;186
23/3/2025 8:0;174
23/3/2025 9:0;209
23/3/2025 10:0;188
23/3/2025 11:0;254
23/3/2025 12:0;213
23/3/2025 13:0;182
23/3/2025 14:0;191
23/3/2025 15:0;189
23/3/2025 16:0;199
23/3/2025 17:0;180
23/3/2025 18:0;182
23/3/2025 19:0;192
23/3/2025 20:0;177
23/3/2025 21:0;190
23/3/2025 22:0;183
23/3/2025 23:0;203
24/3/2025 0:0;222
24/3/2025 1:0;205
24/3/2025 2:0;185
24/3/2025 3:0;199
24/3/2025 4:0;183
24/3/2025 5:0;198
24/3/2025 6:0;208
24/3/2025 7:0;470
24/3/2025 8:0;1175
24/3/2025 9:0;1878
24/3/2025 10:0;3007
24/3/2025 11:0;3100
24/3/2025 12:0;2944
24/3/2025 13:0;3525
24/3/2025 14:0;3287
24/3/2025 15:0;2666
24/3/2025 16:0;2809
24/3/2025 17:0;2882
24/3/2025 18:0;1434
24/3/2025 19:0;1287
24/3/2025 20:0;1126
24/3/2025 21:0;692
24/3/2025 22:0;651
24/3/2025 23:0;638
25/3/2025 0:0;605
25/3/2025 1:0;626
25/3/2025 2:0;586
25/3/2025 3:0;605
25/3/2025 4:0;600
25/3/2025 5:0;607
25/3/2025 6:0;625
25/3/2025 7:0;934
25/3/2025 8:0;1562
25/3/2025 9:0;2242
25/3/2025 10:0;2994
25/3/2025 11:0;3012
25/3/2025 12:0;3439
25/3/2025 13:0;4000
25/3/2025 14:0;3191
25/3/2025 15:0;2911
25/3/2025 16:0;2700
25/3/2025 17:0;2282
25/3/2025 18:0;1222
25/3/2025 19:0;1420
25/3/2025 20:0;529
25/3/2025 21:0;411
25/3/2025 22:0;338
25/3/2025 23:0;324
26/3/2025 0:0;304
26/3/2025 1:0;304
26/3/2025 2:0;278
26/3/2025 3:0;282
26/3/2025 4:0;284
26/3/2025 5:0;269
26/3/2025 6:0;352
26/3/2025 7:0;508
26/3/2025 8:0;1177
26/3/2025 9:0;2129
26/3/2025 10:0;3317
26/3/2025 11:0;2815
26/3/2025 12:0;2626
26/3/2025 13:0;4082
26/3/2025 14:0;3723
26/3/2025 15:0;2703
26/3/2025 16:0;3265
26/3/2025 17:0;2047
26/3/2025 18:0;1443
26/3/2025 19:0;2023
26/3/2025 20:0;1086
26/3/2025 21:0;318
26/3/2025 22:0;292
26/3/2025 23:0;267
27/3/2025 0:0;264
27/3/2025 1:0;272
27/3/2025 2:0;210
27/3/2025 3:0;232
27/3/2025 4:0;224
27/3/2025 5:0;241
27/3/2025 6:0;233
27/3/2025 7:0;459
27/3/2025 8:0;1019
27/3/2025 9:0;1448
27/3/2025 10:0;2527
27/3/2025 11:0;3281
27/3/2025 12:0;2022
27/3/2025 13:0;2780
27/3/2025 14:0;2048
27/3/2025 15:0;2303
27/3/2025 16:0;2149
27/3/2025 17:0;1882
27/3/2025 18:0;1567
27/3/2025 19:0;1417
27/3/2025 20:0;704
27/3/2025 21:0;597
27/3/2025 22:0;538
27/3/2025 23:0;554
28/3/2025 0:0;498
28/3/2025 1:0;534
28/3/2025 2:0;505
28/3/2025 3:0;508
28/3/2025 4:0;507
28/3/2025 5:0;511
28/3/2025 6:0;534
28/3/2025 7:0;693
28/3/2025 8:0;1474
28/3/2025 9:0;2183
28/3/2025 10:0;2499
28/3/2025 11:0;2397
28/3/2025 12:0;2065
28/3/2025 13:0;2199
28/3/2025 14:0;1788
28/3/2025 15:0;1562
28/3/2025 16:0;1305
28/3/2025 17:0;857
28/3/2025 18:0;574
28/3/2025 19:0;974
28/3/2025 20:0;316
28/3/2025 21:0;211
28/3/2025 22:0;200
28/3/2025 23:0;180
29/3/2025 0:0;195
29/3/2025 1:0;215
29/3/2025 2:0;183
29/3/2025 3:0;209
29/3/2025 4:0;190
29/3/2025 5:0;200
29/3/2025 6:0;184
29/3/2025 7:0;189
29/3/2025 8:0;194
29/3/2025 9:0;187
29/3/2025 10:0;192
29/3/2025 11:0;184
29/3/2025 12:0;184
29/3/2025 13:0;210
29/3/2025 14:0;228
29/3/2025 15:0;200
29/3/2025 16:0;189
29/3/2025 17:0;184
29/3/2025 18:0;197
29/3/2025 19:0;177
29/3/2025 20:0;192
29/3/2025 21:0;198
29/3/2025 22:0;186
29/3/2025 23:0;199
30/3/2025 0:0;184
30/3/2025 1:0;226
30/3/2025 3:0;178
30/3/2025 4:0;196
30/3/2025 5:0;209
30/3/2025 6:0;187
30/3/2025 7:0;202
30/3/2025 8:0;180
30/3/2025 9:0;182
30/3/2025 10:0;202
30/3/2025 11:0;174
30/3/2025 12:0;202
30/3/2025 13:0;185
