x,y,Hour,Weekday,mean,std,upper_threshold,lower_threshold,deviation_type
2025-03-19 08:00:00,1398,8,2,1035.0588235294117,642.0546579719903,2319.1681394733923,-249.0504924145689,Normal
2025-03-19 09:00:00,3360,9,2,1561.9411764705883,1061.7756631339453,3685.492502738479,-561.6101497973023,Normal
2025-03-19 10:00:00,2793,10,2,2053.0,1337.43495168924,4727.86990337848,-621.8699033784801,Normal
2025-03-19 11:00:00,3196,11,2,2176.4117647058824,1387.9760921402576,4952.363948986398,-599.5404195746328,Normal
2025-03-19 12:00:00,4114,12,2,2155.0588235294117,1477.3000486778337,5109.658920885079,-799.5412738262557,Normal
2025-03-19 13:00:00,3584,13,2,2473.9411764705883,1665.2426050949841,5804.426386660556,-856.54403371938,Normal
2025-03-19 14:00:00,2831,14,2,2083.1176470588234,1403.138173985056,4889.393995028935,-723.1587009112886,Normal
2025-03-19 15:00:00,2338,15,2,1715.3529411764705,1072.2970636195264,3859.947068415523,-429.2411860625823,Normal
2025-03-19 16:00:00,2406,16,2,1638.7058823529412,1078.303515058833,3795.3129124706074,-517.9011477647248,Normal
2025-03-19 17:00:00,1973,17,2,1334.0588235294117,905.9939618030185,3146.0467471354486,-477.9291000766252,Normal
2025-03-19 18:00:00,2169,18,2,1013.0,705.741365515725,2424.48273103145,-398.48273103144993,Normal
2025-03-19 19:00:00,1003,19,2,923.8235294117648,630.7042923682735,2185.2321141483117,-337.5850553247823,Normal
2025-03-19 20:00:00,480,20,2,577.75,350.160820195521,1278.071640391042,-122.57164039104202,Normal
2025-03-19 21:00:00,370,21,2,361.29411764705884,186.26753766621627,733.8291929794914,-11.2409576853737,Normal
2025-03-19 22:00:00,337,22,2,323.11764705882354,178.93220865489155,680.9820643686066,-34.74677025095957,Normal
2025-03-19 23:00:00,323,23,2,335.8,189.3561270652282,714.5122541304564,-42.912254130456404,Normal
2025-03-20 00:00:00,306,0,3,320.0,178.20814475534743,676.4162895106949,-36.41628951069487,Normal
2025-03-20 01:00:00,337,1,3,346.875,183.50435962123626,713.8837192424726,-20.133719242472523,Normal
