x,y,Hour,Weekday,mean,std,upper_threshold,lower_threshold,deviation_type
2025-03-19 08:00:00,97,8,2,105.0,76.98214078602906,258.9642815720581,-48.96428157205813,Normal
2025-03-19 09:00:00,197,9,2,154.35294117647058,108.77955987711488,371.91206093070036,-63.206178577759175,Normal
2025-03-19 10:00:00,204,10,2,184.0,119.39953936259555,422.79907872519107,-54.799078725191094,Normal
2025-03-19 11:00:00,240,11,2,187.64705882352942,125.50793858182367,438.66293598717675,-63.36881834011791,Normal
2025-03-19 12:00:00,307,12,2,227.52941176470588,158.06055708456284,543.6505259338315,-88.5917024044198,Normal
2025-03-19 13:00:00,362,13,2,234.05882352941177,162.77840404528303,559.6156316199779,-91.49798456115428,Normal
2025-03-19 14:00:00,316,14,2,197.11764705882354,151.76045365679968,500.6385543724229,-106.40326025477583,Normal
2025-03-19 15:00:00,308,15,2,179.2941176470588,141.68705158988698,462.6682208268328,-104.07998553271514,Normal
2025-03-19 16:00:00,199,16,2,157.41176470588235,120.86565828613675,399.1430812781558,-84.31955186639115,Normal
2025-03-19 17:00:00,214,17,2,127.52941176470588,88.35872738944553,304.246866543597,-49.18804301418518,Normal
2025-03-19 18:00:00,136,18,2,98.88235294117646,80.01475047838146,258.9118538979394,-61.14714801558645,Normal
2025-03-19 19:00:00,67,19,2,59.588235294117645,48.21573760652404,156.0197105071657,-36.84323991893043,Normal
2025-03-19 20:00:00,47,20,2,39.1764705882353,35.15365431594141,109.48377922011812,-31.130838043647522,Normal
2025-03-19 21:00:00,3,21,2,32.94117647058823,31.514819109895136,95.9708146903785,-30.08846174920204,Normal
2025-03-19 22:00:00,3,22,2,26.88235294117647,32.53629195402646,91.9549368492294,-38.19023096687645,Normal
2025-03-19 23:00:00,3,23,2,27.875,32.55533750401,92.98567500802,-37.235675008019996,Normal
2025-03-20 00:00:00,18,0,3,29.125,30.63521938336115,90.3954387667223,-32.1454387667223,Normal
2025-03-20 01:00:00,3,1,3,28.625,30.56986533608983,89.76473067217967,-32.51473067217966,Normal
2025-03-20 02:00:00,3,2,3,30.266666666666666,31.31970321576834,92.90607309820334,-32.37273976487001,Normal
2025-03-20 03:00:00,3,3,3,27.625,33.21821789319831,94.06143578639661,-38.811435786396615,Normal
2025-03-20 04:00:00,2,4,3,27.6875,32.41341029059835,92.5143205811967,-37.1393205811967,Normal
