x,y,Hour,Weekday,mean,std,upper_threshold,lower_threshold,deviation_type
2025-03-19 08:00:00,16,8,2,17.6875,17.734030374771926,53.15556074954385,-17.780560749543852,Normal
2025-03-19 09:00:00,19,9,2,31.5625,22.733143938605,77.02878787721,-13.90378787721,Normal
2025-03-19 10:00:00,79,10,2,60.4375,78.62397323123952,217.68544646247904,-96.81044646247904,Normal
2025-03-19 11:00:00,156,11,2,86.3529411764706,60.79981617619271,207.95257352885602,-35.24669117591482,Normal
2025-03-19 12:00:00,104,12,2,27.0625,27.586152927389733,82.23480585477947,-28.109805854779466,Above Normal
2025-03-19 13:00:00,87,13,2,43.529411764705884,34.7061191417645,112.94165004823489,-25.882826518823123,Normal
2025-03-19 14:00:00,37,14,2,31.529411764705884,25.698048678496058,82.925509121698,-19.86668559228623,Normal
2025-03-19 15:00:00,22,15,2,25.875,38.14861290619446,102.17222581238892,-50.422225812388916,Normal
2025-03-19 16:00:00,25,16,2,13.4375,12.780029994748315,38.99755998949663,-12.12255998949663,Normal
2025-03-19 17:00:00,16,17,2,9.125,11.615363389350618,32.35572677870124,-14.105726778701236,Normal
2025-03-19 18:00:00,14,18,2,19.1875,20.471830238973098,60.131160477946196,-21.756160477946196,Normal
2025-03-19 19:00:00,19,19,2,14.5625,18.9489445616372,52.4603891232744,-23.335389123274403,Normal
2025-03-19 20:00:00,3,20,2,4.764705882352941,7.344465703547688,19.453637289448316,-9.924225524742436,Normal
2025-03-19 21:00:00,1,21,2,0.11764705882352941,0.3321055820775357,0.7818582229786009,-0.546564105331542,Above Normal
2025-03-19 22:00:00,0,22,2,0.0625,0.24999999999999997,0.5625,-0.43749999999999994,Normal
2025-03-19 23:00:00,0,23,2,0.06666666666666667,0.2581988897471611,0.5830644461609888,-0.44973111282765554,Normal
2025-03-20 00:00:00,0,0,3,0.0,0.0,0.0,0.0,Normal
2025-03-20 01:00:00,0,1,3,0.06666666666666667,0.2581988897471611,0.5830644461609888,-0.44973111282765554,Normal
2025-03-20 02:00:00,0,2,3,0.06666666666666667,0.2581988897471611,0.5830644461609888,-0.44973111282765554,Normal
2025-03-20 03:00:00,0,3,3,0.0625,0.24999999999999997,0.5625,-0.43749999999999994,Normal
