x,y,Date,Hour,is_anomalous,alert_threshold,anomaly_type
2025-03-19 08:00:00,60,2025-03-19,8,False,62.19506956657839,Normal Usage
2025-03-19 09:00:00,59,2025-03-19,9,False,61.0797077821444,Normal Usage
2025-03-19 10:00:00,60,2025-03-19,10,False,63.61833179398707,Normal Usage
2025-03-19 11:00:00,60,2025-03-19,11,False,64.46536275911781,Normal Usage
2025-03-19 12:00:00,62,2025-03-19,12,True,63.325147987723,Normal Usage
2025-03-19 13:00:00,58,2025-03-19,13,False,62.57862142527722,Normal Usage
2025-03-19 14:00:00,62,2025-03-19,14,True,64.97666925335606,Normal Usage
2025-03-19 15:00:00,872,2025-03-19,15,True,906.0594083411596,Normal Usage
2025-03-19 16:00:00,61,2025-03-19,16,True,64.06093215483007,Normal Usage
2025-03-19 17:00:00,60,2025-03-19,17,False,1445.9603604752615,Normal Usage
2025-03-19 18:00:00,1224,2025-03-19,18,True,2198.9645210180206,Normal Usage
2025-03-19 19:00:00,58,2025-03-19,19,False,711.8597191126896,Normal Usage
2025-03-19 20:00:00,48,2025-03-19,20,False,52.05023359070943,Normal Usage
2025-03-19 21:00:00,40,2025-03-19,21,False,38.52693265823364,Possible Leak
2025-03-19 22:00:00,38,2025-03-19,22,False,36.174392184011566,Possible Leak
2025-03-19 23:00:00,36,2025-03-19,23,False,35.44222166638872,Possible Leak
2025-03-20 00:00:00,36,2025-03-20,0,False,35.8825705472861,Possible Leak
2025-03-20 01:00:00,38,2025-03-20,1,False,36.70538971576728,Possible Leak
2025-03-20 02:00:00,40,2025-03-20,2,False,39.17137165600636,Possible Leak
2025-03-20 03:00:00,42,2025-03-20,3,False,38.88948975429437,Possible Leak
2025-03-20 04:00:00,37,2025-03-20,4,False,37.09715762238964,Normal Usage
2025-03-20 05:00:00,39,2025-03-20,5,False,37.569636012478384,Possible Leak
2025-03-20 06:00:00,38,2025-03-20,6,False,36.35081562625261,Possible Leak
2025-03-20 07:00:00,46,2025-03-20,7,False,46.56145826550766,Normal Usage
2025-03-20 08:00:00,58,2025-03-20,8,False,62.19506956657839,Normal Usage
2025-03-20 09:00:00,53,2025-03-20,9,False,61.0797077821444,Normal Usage
2025-03-20 10:00:00,57,2025-03-20,10,False,63.61833179398707,Normal Usage
2025-03-20 11:00:00,60,2025-03-20,11,False,64.46536275911781,Normal Usage
2025-03-20 12:00:00,55,2025-03-20,12,False,63.325147987723,Normal Usage
2025-03-20 13:00:00,54,2025-03-20,13,False,62.57862142527722,Normal Usage
2025-03-20 14:00:00,60,2025-03-20,14,False,64.97666925335606,Normal Usage
2025-03-20 15:00:00,58,2025-03-20,15,False,906.0594083411596,Normal Usage
2025-03-20 16:00:00,59,2025-03-20,16,False,64.06093215483007,Normal Usage
2025-03-20 17:00:00,57,2025-03-20,17,False,1445.9603604752615,Normal Usage
2025-03-20 18:00:00,1411,2025-03-20,18,True,2198.9645210180206,Normal Usage
2025-03-20 19:00:00,51,2025-03-20,19,False,711.8597191126896,Normal Usage
2025-03-20 20:00:00,48,2025-03-20,20,False,52.05023359070943,Normal Usage
2025-03-20 21:00:00,38,2025-03-20,21,False,38.52693265823364,Normal Usage
2025-03-20 22:00:00,36,2025-03-20,22,False,36.174392184011566,Normal Usage
2025-03-20 23:00:00,36,2025-03-20,23,False,35.44222166638872,Possible Leak
2025-03-21 00:00:00,36,2025-03-21,0,False,35.8825705472861,Possible Leak
2025-03-21 01:00:00,36,2025-03-21,1,False,36.70538971576728,Normal Usage
2025-03-21 02:00:00,38,2025-03-21,2,False,39.17137165600636,Normal Usage
2025-03-21 03:00:00,37,2025-03-21,3,False,38.88948975429437,Normal Usage
2025-03-21 04:00:00,37,2025-03-21,4,False,37.09715762238964,Normal Usage
2025-03-21 05:00:00,36,2025-03-21,5,False,37.569636012478384,Normal Usage
2025-03-21 06:00:00,36,2025-03-21,6,False,36.35081562625261,Normal Usage
2025-03-21 07:00:00,36,2025-03-21,7,False,46.56145826550766,Normal Usage
2025-03-21 08:00:00,39,2025-03-21,8,False,62.19506956657839,Normal Usage
2025-03-21 09:00:00,39,2025-03-21,9,False,61.0797077821444,Normal Usage
2025-03-21 10:00:00,41,2025-03-21,10,False,63.61833179398707,Normal Usage
2025-03-21 11:00:00,40,2025-03-21,11,False,64.46536275911781,Normal Usage
2025-03-21 12:00:00,41,2025-03-21,12,False,63.325147987723,Normal Usage
2025-03-21 13:00:00,37,2025-03-21,13,False,62.57862142527722,Normal Usage
2025-03-21 14:00:00,37,2025-03-21,14,False,64.97666925335606,Normal Usage
2025-03-21 15:00:00,991,2025-03-21,15,True,906.0594083411596,Possible Leak
2025-03-21 16:00:00,33,2025-03-21,16,False,64.06093215483007,Normal Usage
2025-03-21 17:00:00,32,2025-03-21,17,False,1445.9603604752615,Normal Usage
2025-03-21 18:00:00,32,2025-03-21,18,False,2198.9645210180206,Normal Usage
2025-03-21 19:00:00,32,2025-03-21,19,False,711.8597191126896,Normal Usage
2025-03-21 20:00:00,32,2025-03-21,20,False,52.05023359070943,Normal Usage
2025-03-21 21:00:00,33,2025-03-21,21,False,38.52693265823364,Normal Usage
2025-03-21 22:00:00,32,2025-03-21,22,False,36.174392184011566,Normal Usage
2025-03-21 23:00:00,32,2025-03-21,23,False,35.44222166638872,Normal Usage
2025-03-22 00:00:00,33,2025-03-22,0,False,35.8825705472861,Normal Usage
2025-03-22 01:00:00,33,2025-03-22,1,False,36.70538971576728,Normal Usage
2025-03-22 02:00:00,33,2025-03-22,2,False,39.17137165600636,Normal Usage
2025-03-22 03:00:00,35,2025-03-22,3,False,38.88948975429437,Normal Usage
2025-03-22 04:00:00,34,2025-03-22,4,False,37.09715762238964,Normal Usage
2025-03-22 05:00:00,33,2025-03-22,5,False,37.569636012478384,Normal Usage
2025-03-22 06:00:00,33,2025-03-22,6,False,36.35081562625261,Normal Usage
2025-03-22 07:00:00,39,2025-03-22,7,False,46.56145826550766,Normal Usage
2025-03-22 08:00:00,50,2025-03-22,8,False,62.19506956657839,Normal Usage
2025-03-22 09:00:00,44,2025-03-22,9,False,61.0797077821444,Normal Usage
2025-03-22 10:00:00,50,2025-03-22,10,False,63.61833179398707,Normal Usage
2025-03-22 11:00:00,51,2025-03-22,11,False,64.46536275911781,Normal Usage
2025-03-22 12:00:00,51,2025-03-22,12,False,63.325147987723,Normal Usage
2025-03-22 13:00:00,44,2025-03-22,13,False,62.57862142527722,Normal Usage
2025-03-22 14:00:00,42,2025-03-22,14,False,64.97666925335606,Normal Usage
2025-03-22 15:00:00,40,2025-03-22,15,False,906.0594083411596,Normal Usage
2025-03-22 16:00:00,40,2025-03-22,16,False,64.06093215483007,Normal Usage
2025-03-22 17:00:00,39,2025-03-22,17,False,1445.9603604752615,Normal Usage
2025-03-22 18:00:00,40,2025-03-22,18,False,2198.9645210180206,Normal Usage
2025-03-22 19:00:00,39,2025-03-22,19,False,711.8597191126896,Normal Usage
2025-03-22 20:00:00,37,2025-03-22,20,False,52.05023359070943,Normal Usage
2025-03-22 21:00:00,33,2025-03-22,21,False,38.52693265823364,Normal Usage
2025-03-22 22:00:00,33,2025-03-22,22,False,36.174392184011566,Normal Usage
2025-03-22 23:00:00,32,2025-03-22,23,False,35.44222166638872,Normal Usage
2025-03-23 00:00:00,33,2025-03-23,0,False,35.8825705472861,Normal Usage
2025-03-23 01:00:00,33,2025-03-23,1,False,36.70538971576728,Normal Usage
2025-03-23 02:00:00,35,2025-03-23,2,False,39.17137165600636,Normal Usage
2025-03-23 03:00:00,33,2025-03-23,3,False,38.88948975429437,Normal Usage
2025-03-23 04:00:00,34,2025-03-23,4,False,37.09715762238964,Normal Usage
2025-03-23 05:00:00,34,2025-03-23,5,False,37.569636012478384,Normal Usage
2025-03-23 06:00:00,33,2025-03-23,6,False,36.35081562625261,Normal Usage
2025-03-23 07:00:00,35,2025-03-23,7,False,46.56145826550766,Normal Usage
2025-03-23 08:00:00,38,2025-03-23,8,False,62.19506956657839,Normal Usage
2025-03-23 09:00:00,43,2025-03-23,9,False,61.0797077821444,Normal Usage
2025-03-23 10:00:00,45,2025-03-23,10,False,63.61833179398707,Normal Usage
2025-03-23 11:00:00,46,2025-03-23,11,False,64.46536275911781,Normal Usage
2025-03-23 12:00:00,45,2025-03-23,12,False,63.325147987723,Normal Usage
2025-03-23 13:00:00,45,2025-03-23,13,False,62.57862142527722,Normal Usage
2025-03-23 14:00:00,41,2025-03-23,14,False,64.97666925335606,Normal Usage
2025-03-23 15:00:00,38,2025-03-23,15,False,906.0594083411596,Normal Usage
2025-03-23 16:00:00,38,2025-03-23,16,False,64.06093215483007,Normal Usage
2025-03-23 17:00:00,40,2025-03-23,17,False,1445.9603604752615,Normal Usage
2025-03-23 18:00:00,40,2025-03-23,18,False,2198.9645210180206,Normal Usage
2025-03-23 19:00:00,38,2025-03-23,19,False,711.8597191126896,Normal Usage
2025-03-23 20:00:00,38,2025-03-23,20,False,52.05023359070943,Normal Usage
2025-03-23 21:00:00,32,2025-03-23,21,False,38.52693265823364,Normal Usage
2025-03-23 22:00:00,32,2025-03-23,22,False,36.174392184011566,Normal Usage
2025-03-23 23:00:00,32,2025-03-23,23,False,35.44222166638872,Normal Usage
2025-03-24 00:00:00,32,2025-03-24,0,False,35.8825705472861,Normal Usage
2025-03-24 01:00:00,32,2025-03-24,1,False,36.70538971576728,Normal Usage
2025-03-24 02:00:00,35,2025-03-24,2,False,39.17137165600636,Normal Usage
2025-03-24 03:00:00,33,2025-03-24,3,False,38.88948975429437,Normal Usage
2025-03-24 04:00:00,33,2025-03-24,4,False,37.09715762238964,Normal Usage
2025-03-24 05:00:00,34,2025-03-24,5,False,37.569636012478384,Normal Usage
2025-03-24 06:00:00,31,2025-03-24,6,False,36.35081562625261,Normal Usage
2025-03-24 07:00:00,39,2025-03-24,7,False,46.56145826550766,Normal Usage
2025-03-24 08:00:00,48,2025-03-24,8,False,62.19506956657839,Normal Usage
2025-03-24 09:00:00,50,2025-03-24,9,False,61.0797077821444,Normal Usage
2025-03-24 10:00:00,54,2025-03-24,10,False,63.61833179398707,Normal Usage
2025-03-24 11:00:00,53,2025-03-24,11,False,64.46536275911781,Normal Usage
2025-03-24 12:00:00,52,2025-03-24,12,False,63.325147987723,Normal Usage
2025-03-24 13:00:00,51,2025-03-24,13,False,62.57862142527722,Normal Usage
2025-03-24 14:00:00,53,2025-03-24,14,False,64.97666925335606,Normal Usage
2025-03-24 15:00:00,53,2025-03-24,15,False,906.0594083411596,Normal Usage
2025-03-24 16:00:00,53,2025-03-24,16,False,64.06093215483007,Normal Usage
2025-03-24 17:00:00,1085,2025-03-24,17,True,1445.9603604752615,Normal Usage
2025-03-24 18:00:00,51,2025-03-24,18,False,2198.9645210180206,Normal Usage
2025-03-24 19:00:00,49,2025-03-24,19,False,711.8597191126896,Normal Usage
2025-03-24 20:00:00,44,2025-03-24,20,False,52.05023359070943,Normal Usage
2025-03-24 21:00:00,34,2025-03-24,21,False,38.52693265823364,Normal Usage
2025-03-24 22:00:00,29,2025-03-24,22,False,36.174392184011566,Normal Usage
2025-03-24 23:00:00,31,2025-03-24,23,False,35.44222166638872,Normal Usage
2025-03-25 00:00:00,30,2025-03-25,0,False,35.8825705472861,Normal Usage
2025-03-25 01:00:00,31,2025-03-25,1,False,36.70538971576728,Normal Usage
2025-03-25 02:00:00,32,2025-03-25,2,False,39.17137165600636,Normal Usage
2025-03-25 03:00:00,32,2025-03-25,3,False,38.88948975429437,Normal Usage
2025-03-25 04:00:00,31,2025-03-25,4,False,37.09715762238964,Normal Usage
2025-03-25 05:00:00,31,2025-03-25,5,False,37.569636012478384,Normal Usage
2025-03-25 06:00:00,31,2025-03-25,6,False,36.35081562625261,Normal Usage
2025-03-25 07:00:00,40,2025-03-25,7,False,46.56145826550766,Normal Usage
2025-03-25 08:00:00,52,2025-03-25,8,False,62.19506956657839,Normal Usage
2025-03-25 09:00:00,49,2025-03-25,9,False,61.0797077821444,Normal Usage
2025-03-25 10:00:00,54,2025-03-25,10,False,63.61833179398707,Normal Usage
2025-03-25 11:00:00,49,2025-03-25,11,False,64.46536275911781,Normal Usage
2025-03-25 12:00:00,51,2025-03-25,12,False,63.325147987723,Normal Usage
2025-03-25 13:00:00,55,2025-03-25,13,False,62.57862142527722,Normal Usage
